# [Name]                 [Latitude]             [Longitude]            [Power]
#Power is thermal power in GW
#This file is prepared by Linyan Wan 
NARORA-2				28.158056					78.409444				 0.801
TARAPUR-1				19.828981					72.661206				 0.530
TARAPUR-2				19.828981					72.661206				 0.530
TARAPUR-3				19.828981					72.661206				 1.730
TARAPUR-4				19.828981					72.661206				 1.730
BUSHEHR-1				28.829622					50.885961				 3.000
HANBIT-1				35.415						126.423889				 2.787
HANBIT-2				35.415						126.423889				 2.787
HANBIT-3				35.415						126.423889				 2.825
HANBIT-4				35.415						126.423889				 2.825
HANBIT-5				35.415						126.423889				 2.825
HANBIT-6				35.415						126.423889				 2.825
LAGUNAVERDE-1				19.720833					-96.406389				 2.027
LAGUNAVERDE-2				19.720833					-96.406389				 2.027
BORSSELE				51.450833					3.71833					 1.366
CERNAVODA-1				44.322222					28.057222				 2.180
CERNAVODA-2				44.322222					28.057222				 2.180
BALAKOVO-1				52.091111					47.955278				 3.000
BALAKOVO-2				52.091111					47.955278				 3.000
BALAKOVO-3				52.091111					47.955278				 3.000
BALAKOVO-4				52.091111					47.955278				 3.000
BILIBINO-1				68.060278					166.538611				 0.062
BILIBINO-2				68.060278					166.538611				 0.062
BILIBINO-3				68.060278					166.538611				 0.062
BILIBINO-4				68.060278					166.538611				 0.062
KALININ-1				57.905556					35.060278				 3.000
KALININ-2				57.905556					35.060278				 3.000
KALININ-3				57.905556					35.060278				 3.000
KALININ-4				57.905556					35.060278				 3.000
KOLA-1					67.466667					32.466667				 1.375
KOLA-2					67.466667					32.466667				 1.375
KOLA-3					67.466667					32.466667				 1.375
KOLA-4					67.466667					32.466667				 1.375
KURSK-1					51.675						35.605555				 3.200
KURSK-2					51.675						35.605555				 3.200
KURSK-3					51.675						35.605555				 3.200
KURSK-4					51.675						35.605555				 3.200
SMOLENSK-1				54.169161					33.246636				 3.200
SMOLENSK-2				54.169161					33.246636				 3.200
SMOLENSK-3				54.169161					33.246636				 3.200
BOHUNICE-3				48.494444					17.681944				 1.471
BOHUNICE-4				48.494444					17.681944				 1.471
KRSKO					45.938333					15.515556				 1.994
KOEBERG-1				-33.676444					18.432047				 2.775
KOEBERG-2				-33.676444					18.432047				 2.775
ALMARAZ-1				39.808056					-5.696944				 2.947
ALMARAZ-2				39.808056					-5.696944				 2.947
ASCO-1				41.2							0.569444					 2.954
ASCO-2				41.2							0.569444					 2.954
COFRENTES			39.216667					-1.05						 3.237
TRILLO					40.701111					-2.621944				 3.010
VANDELLOS				40.951389					0.86667					 2.941
FORSMARK-1				60.403333					18.166667				 2.928
FORSMARK-2				60.403333					18.166667				 3.253
FORSMARK-3				60.403333					18.166667				 3.300
OSKARSHAMN-1				57.415556					16.671111				 1.375
OSKARSHAMN-2				57.415556					16.671111				 1.800
OSKARSHAMN-3				57.415556					16.671111				 3.900
RINGHALS-1				57.259722					12.110833				 2.540
RINGHALS-2				57.259722					12.110833				 2.500
RINGHALS-3				57.259722					12.110833				 3.135
RINGHALS-4				57.259722					12.110833				 2.775
BEZNAU-1			47.552107					8.228492					 1.130
BEZNAU-2			47.552107					8.228492					 1.130
